id,day_of_year,quote,author,of_year
244,244,"Ungrateful people forget what they are not grateful for.","Ana Monnar",2020
245,245,"Gratitude is one of the most powerful human emotions. Once expressed, it changes attitude, brightens outlook, and broadens our perspective.","Germany Kent",2020
246,246,"Thrill me, chill me I went in search of money and success, all I got was a bellyful of excess! Now that I've realigned myself I’m on my tip-toes because life is sweet! I'm overwhelmed with gratitude for all the blessings that are manifesting in my life … neat!","Stephen Richards",2020
247,247,"A sudden happiness catches me unawares. I feel it trickling into me, and my eyes go liquid with gratitude and hope.","Khaled Hosseini",2020
248,248,"Beware: It is a quick transition from a nourishing sense of gratitude to a poisonous sense of entitlement.","Steve Maraboli",2020
249,249,"If future generations are to remember us with gratitude rather than contempt, we must leave them more than the miracles of technology. We must leave them a glimpse of the world as it was in the beginning, not just after we got through with it.","Lyndon B. Johnson",2020
250,250,"It’s up to us to choose contentment and thankfulness now—and to stop imagining that we have to have everything perfect before we’ll be happy.","Joanna Gaines",2020
251,251,"Gratitude’s got a short half-life, Clarice.","Thomas Harris",2020
252,252,"The finished man, you know, is difficult to please; a growing mind will ever show you gratitude.","Johann Wolfgang von Goethe",2020
253,253,"A sincere attitude of gratitude is a beatitude for secured altitudes. Appreciate what you have been given and you will be promoted higher.","Israelmore Ayivor",2020
254,254,"Gratitude is a euphemism for resentment.","Robert A. Heinlein",2020
255,255,"Is the height of my chara joy dependent on the depths of my eucharisteo thanks?","Ann Voskamp",2020
256,256,"Gratitude bestows reverence, allowing us to encounter everyday epiphanies, those transcendent moments of awe that change forever how we experience life and the world.","Sarah Ban Breathnach",2020
257,257,"Wealth can also be that attitude of gratitude with which we remind ourselves everyday to count our blessings.","Chris Gardner",2020
258,258,"You will never accept gratitude as a solution to your problems, until you have reached the last stage of grief--acceptance.","Shannon L. Alder",2020
259,259,"Ingratitude produces pride while gratitude produces humility.","Orrin Woodward",2020
260,260,"Practicing an attitude of gratitude spills over to acts of generosity.","Debbie Macomber",2020
261,261,"Dear world, I am excited to be alive in you, and I am thankful for another year.","Charlotte Eriksson",2020
262,262,"The roses of romance grow when you water your relationship with gratitude. Love will bloom and blossom when you recognize the awesome.","Jarod Kintz",2020
263,263,"Hurry always empties a soul.","Ann Voskamp",2020
264,264,"But once you accept the fact that you have always been alone, and will always be, then your perspective can begin to change. You can become aware of the small kindnesses, the little comforts. Be grateful for them.","Linda Olsson",2020
265,265,"What well-bred woman would refuse her heart to a man who had just saved her life? Not one; and gratitude is a short cut which speedily leads to love.","Théophile Gautier",2020
266,266,"From this point forward, you don’t even know how to quit in life.","Aaron Lauritsen",2020
267,267,"And I'm thankful, in that moment, full to the brim with gratitude that Christian is with me. He's here. My partner. My best friend.","Cynthia Hand",2020
268,268,"Don't ever stop believing in your own transformation. It is still happening even on days you may not realize it or feel like it.","Lalah Delia",2020
269,269,"There is no such thing as gratitude unexpressed. If it is unexpressed, it is plain, old-fashioned ingratitude.","Robert Brault",2020
270,270,"But you're an artist. You don't believe in decency and honesty and gratitude.","William S. Burroughs",2020
271,271,"Happiness is the experience of living every moment with love, grace and gratitude.","Denis Waitley",2020
272,272,"Any day above ground is a good day. Before you complain about anything, be thankful for your life and the things that are still going well.","Germany Kent",2020
273,273,"Gratitude is the sweetest thing in a seeker's life- in all human life. If there is gratitude in your heart, then there will be tremendous sweetness in your eyes.","Sri Chinmoy",2020
274,274,"Like all lawyers, I was delighted by gratitude. It happened so rarely.","C.J. Sansom",2020
275,275,"You were formed inside a borrowed womb—a nourishing safe haven for months—then delivered through painful effort and sacrifice by a woman willing to give you the precious gift of life. That truth alone deserves your gratitude and respect.","Richelle E. Goodrich",2020
276,276,"I pity the man who praises God only when things go his way.","Criss Jami",2020
277,277,"We owe a lot to the Indians, who taught us how to count, without which no worthwhile scientific discovery could have been made.","Albert Einstein",2020
278,278,"If you concentrate on finding whatever is good in every situation, you will discover that your life will suddenly be filled with gratitude, a feeling that nurtures the soul","Harold S. Kushner",2020
279,279,"When we can do nothing else, we can still love, without expecting any reward or change or gratitude.","Paulo Coelho",2020
280,280,"One grateful thought is a ray of sunshine.  A hundred such thoughts paint a sunrise.  A thousand will rival the glaring sky at noonday - for gratitude is light against the darkness.","Richelle E. Goodrich",2020
281,281,"For a wise man, I have been told, once said, ‘Gratitude is best and most effective when it does not evaporate in empty phrases.’ But alas, my lady, I am but a mass of empty phrases, it would seem.","Isaac Asimov",2020
282,282,"We are never quits with those who oblige us, `was Dantes' reply;` for when we do not owe them money, we owe them gratitude.","Alexandre Dumas",2020
283,283,"I don't have to do this alone. If I had my gratitude journal on me now, that's what I would write.","Cynthia Hand",2020
284,284,"One minute of sincere gratitude can wash away a lifetime’s disappointments.","Silvia Hartmann",2020
285,285,"Having gratitude and not expressing it is like wrapping a gift and not deliver it.","Thomas S. Monson",2020
286,286,"Gratitude is the fairest blossom which springs from the soul.","Henry Ward Beecher",2020
287,287,"Here is the world, and you live in it, and are grateful. You try to be grateful.","Michael Cunningham",2020
288,288,"If you aren't happy for what you already have then what makes you think you will be happy with more.","Maddy Malhotra",2020
289,289,"Expectation has brought me disappointment. Disappointment has brought me wisdom. Acceptance, gratitude and appreciation have brought me joy and fulfilment.","Rasheed Ogunlaru",2020
290,290,"There is a calmness to a life lived in gratitude, a quiet joy.","Ralph H. Blum",2020
291,291,"There wasn't enough gratitude in the world for a server who kept drinks coming at a time like this.","Jennifer Crusie",2020
292,292,"Don't count your blessings, let your blessings count! EnjoyLife!","Bernard Kelvin Clive",2020
293,293,"Give thanks to the earth for the hospitality and generosity, Show gratitude for life, light and every little beauty.","Debasish Mridha",2020
294,294,"I am so grateful for the many times God has shown me the mercy of not giving me what I want.","Steve Maraboli",2020
295,295,"The value we place on what we've been given correlates to our depth of gratitude for it.","Todd Stocker",2020
296,296,"Those who are not grateful soon begin to complain of everything.","Thomas Merton",2020
297,297,"Satan will tempt you with many things in life, but the most powerful is the temptation to be grateful for what you have, when it is not the best life God had to offer you.","Shannon L. Alder",2020
298,298,"Everyone is my teacher. Some I seek. Some I subconsciously attract. Often I learn simply by observing others. Some may be completely unaware that I’m learning from them, yet I bow deeply in gratitude.","Eric Allen",2020
299,299,"His gratitude widened his smile and bent his back.","Arundhati Roy",2020
300,300,"The fragrance of romance is gratitude. Nothing says I love you like saying I love you. Sure, it’s better to show your love, but why not also say it?","Jarod Kintz",2020
301,301,"Steam seems to have killed all gratitude in the hearts of sailors.","Jules Verne",2020
302,302,"When the voice and the vision on the inside is more profound, and more clear and loud than all opinions on the outside, you've begun to master your life","John Demartini",2020
303,303,"In an expression of true gratitude, sadness is conspicuous only by its absence","Marcus Aurelius",2020
304,304,"The most attractive thing about you should have less to do with your face or body and more to do with your attitude and how you treat people.","Germany Kent",2020
305,305,"Men are more ready to repay an injury than a benefit, because gratitude is a burden and revenge a pleasure.","Robert Greene",2020
306,306,"Gratitude was never meant to be an excuse for giving up on the obstacles God has put before you. Some of the most magical things he can bring us require faith and a lot of planning.","Shannon L. Alder",2020
307,307,"We can lift ourselves, and others as well, when we refuse to remain in the realm of negative thought and cultivate within our hearts an attitude of gratitude.","Thomas S. Monson",2020
308,308,"Appreciate your mom. She is wiser than you think and stronger than you know. Be thankful.","Steve Maraboli",2020
309,309,"Every day, tell at least one person something you like, admire, or appreciate about them.","Richard Carlson",2020
310,310,"This, I think, is how people survive: Even when horrible things have been done to us, we can still find gratitude in one another.","David Levithan",2020
311,311,"An appreciating heart radiates happiness. Gratitude fills your life with bliss and joyfulness.","Debasish Mridha",2020
312,312,"What was so miraculous about a relationship that was based more on my gratitude than on mutual self respect?","Justina Chen Headley",2020
313,313,"But gratitude would not have me love you as I do. Love was inspired by what you are - the good, the bad, and even the foolish, which is what you're being right now.","Mary Jo Putney",2020
314,314,"I don't recognise any of my emotions any more. There's no such thing as plain joy or grief. It's horror and relief and panic and gratitude all jumbled together.","Elizabeth Wein",2020
315,315,"Ingratitude is a crime more despicable than revenge, which is only returning evil for evil, while ingratitude returns evil for good.","William George Jordan",2020
316,316,"I am grateful for all the trials for that made be a better person.","Lailah Gifty Akita",2020
317,317,"Do not count on the gratitude of deeds done for people in the past,you must make them grateful for things you will do for them in the future.","Mario Puzo",2020
318,318,"Making the ungrateful grateful will bring tears to your eyes, tears of blood bleeding from the heart.","Ana Monnar",2020
319,319,"The grateful heart sits at a continuous feast.",Anonymous,2020
320,320,"In every class of society, gratitude is the rarest of all human virtues.","Wilkie Collins",2020
321,321,"Happiness isn't complicated. It is a humble state of gratitude for simple pleasures, tender mercies, recognized blessings, and inherent beauty.","Richelle E. Goodrich",2020
322,322,"Even the masochists tell everything when tortured. From sheer gratitude.","Stanislaw Jerzy Lec",2020
323,323,"Gratitude is looking on the brighter side of life, even if it means hurting your eyes.","Ellen DeGeneres",2020
324,324,"Joy is the simplest form of gratitude.","Karl Barth",2020
325,325,"I still miss those I loved who are no longer with me but I find I am grateful for having loved them. The gratitude has finally conquered the loss.","Rita Mae Brown",2020
326,326,"When you can no longer tell the difference between being yourself and being love, you are not far from waking up.","Eric Micha'el Leventhal",2020
327,327,"Instead of relief or gratitude, more guilt washes over me. Andy's certainly not faultless - no one ever is in a marriage","Emily Giffin",2020
328,328,"he wanted to prostrate at newton's alter and weep with gratitude for the blessing that made all things fall to the goddamn ground","J.R. Ward",2020
329,329,"I feel a rush of gratitude so strong, it feels almost like love.","Paula Hawkins",2020
330,330,"Gratitude and love are always multiplied when you give freely. It is an infinite source of contentment and prosperous energy.","Jim Fargiano",2020
331,331,"Gratitude is the appreciation of things that are not deserved, earned or demanded - those wonderful things that we take for granted.","Renée Paule",2020
332,332,"Superficial social niceties are far different from the deep emotion of thanksgiving.","Alexandra Katehakis",2020
333,333,"Gratitude is the quality of being thankful and the readiness to show appreciation in return.","Renée Carlino",2020
334,334,"Thanksgiving for God’s faithfulness in our pain is the indisputable proof that we believe God is a part of our pain.","Erwin W. Lutzer",2020
335,335,"We walk through so many myths of each other and ourselves; we are so thankful when someone sees us for who we are and accepts us.","Natalie Goldberg",2020
336,336,"The high road of grace will get you somewhere a whole lot faster then the freeway of spite.","Aaron Lauritsen",2020
337,337,"The more we express thanks, the more gratitude we feel. The more gratitude we feel, the more we express thanks. It's circular, and it leads to a happier life.","Steve Goodier",2020
338,338,"The object is to keep busy being something...as opposed to doing something. We are all sent here to bring more gratitude, more kindness, more forgiveness and more love into this world. That is too big a job to be accomplished by just a few.","Richard Nelson Bolles",2020
339,339,"The circumstances surrounding your birth is not as important as the opportunity to live life.","Lailah Gifty Akita",2020
340,340,"Thank you, Tempest, for loving me when understanding was too hard. Thank you for understanding when loving me is impossible.","Tracy Deebs",2020
341,341,"All these types of love come out of duty, respect, and gratitude. Most of them, as the women in my county know, are sources of sadness, rupture, and brutality.","Lisa See",2020
342,342,"All that we know about those we have loved and lost is that they would wish us to remember them with a more intensified realization of their reality. What is essential does not die but clarifies. The highest tribute to the dead is not grief but gratitude.","Thornton Wilder",2020
343,343,"Gratitude also opens your eyes to the limitless potential of the universe, while dissatisfaction closes your eyes to it.","Stephen Richards",2020
344,344,"Amazement + Gratitude + Openness + Appreciation = an irresistible field of energy","Frederick Dodson",2020
345,345,"Looking behind, I am lifted with gratitude. Looking forward, I am filled with vision. Looking upward, I am filled with strength. Looking within, I discover peace.","Dr. Sukhraj Dhillon",2020
346,346,"There is a worse tyranny than that of ill-treatment. It is the tyranny of tears, vapours, appeals to feelings of affection and of gratitude!","Georgette Heyer",2020
347,347,"To become a better you, remember to be grateful to people who have contributed to making you who you are today.","Israelmore Ayivor",2020
348,348,"There’s some real utility in gratitude. It’s also good protection against the dangers of victimhood and resentment.","Jordan B. Peterson",2020
349,349,"Preserve a sense of proportion in your attitude to everything that pleases you, and make the most of them while they are at their best.","Lucius Annaeus Seneca",2020
350,350,"Life-changing gratitude does not fasten to a life unless nailed through with one very specific nail at a time.","Ann Voskamp",2020
351,351,"Life finds its balance. Children grow up. Second chances come along. In the meantime, I could choose to savor this moment. What good would it do to allow annoyance to interfere with gratitude?","Katrina Kenison",2020
352,352,"It was the exaggerated gratitude that came with immigrant insecurity.","Chimamanda Ngozi Adichie",2020
353,353,"Those who achieve the extraordinary are usually the most ordinary because they have nothing to prove to anybody. Be Humble.","Aaron Lauritsen",2020
354,354,"According to Lyubomirsky, the three factors that seem to have the greatest influence on increasing our happiness are our ability to reframe our situation more positively, our ability to experience gratitude, and our choice to be kind and generous.","Dalai Lama XIV",2020
355,355,"The truist indication of gratitude is to return what you are grateful for.","Richard Paul Evans",2020
356,356,"And perhaps the greatest blessing was that we never knew how short the time was.","Stephen King",2020
357,357,"Tomorrow is not a promise. Tomorrow is a second chance.","J.R. Rim",2020
358,358,"Gratitude is happiness doubled by wonder.","G K Chesterton",2020
359,359,"By acknowledging their contribution and letting them go with gratitude, you will be able to truly put the things you own, and your life, in order.","Marie Kondo",2020
360,360,"Gratitude is an overflow of the pleasure filling your soul.","Raheel Farooq",2020
361,361,"If you're not grateful for what you already have, why should you be blessed with more...","Germany Kent",2020
362,362,"A mindset of gratitude lifts the veil of bitterness and allows you to see beauty and possibility.","Steve Maraboli",2020
363,363,"Life is a web of intersections and choices. Your 1st choice is to recognize an intersection. Your 2nd choice is to be grateful for it.","Ryan Lilly",2020
364,364,"The people that surround us mirror who we are.","The Letters Of Gratitude",2020
365,365,"We love our partners for who they are, not for who they are not.","Aaron Lauritsen",2020
366,366,"When I count my blessings, I find you in every one.","Richelle E. Goodrich",2020
